time,latitude,longitude,depth,mag,place,humans,humanRange,money,moneyRange
2010-01-18 03:51:01,-34.939,-108.557,10.0,5.1,"southern East Pacific Rise",1,"1-10 people",2,"more than $1.000.000"
2010-01-18 11:46:19,-48.293,106.602,10.0,5.3,"southeast Indian Ridge",0,"None",1,"more than $100.000"
2010-01-18 12:19:13,-6.251,130.634,128.0,5.1,"Banda Sea",3,"100-1000 people",0,"less than $100K"
2010-01-18 12:28:34,-31.355,-68.599,94.1,5.4,"San Juan, Argentina",0,"None",0,"less than $100K"
2010-01-18 15:40:26,13.728,-90.132,54.7,5.9,"offshore El Salvador",2,"10-100 people",0,"less than $100K"
2010-01-18 15:56:09,38.404,21.961,0.8,5.5,"Greece",0,"None",0,"less than $100K"
2010-01-19 12:04:05,-30.218,-177.746,63.5,5.1,"Kermadec Islands, New Zealand",0,"None",0,"less than $100K"
2010-01-19 14:23:38,19.004,-80.804,10.0,5.9,"Cayman Islands region",3,"100-1000 people",0,"less than $100K"
2010-01-19 17:28:15,-27.584,-65.829,26.8,5.2,"Tucuman, Argentina",1,"1-10 people",0,"less than $100K"
2010-01-19 17:35:45,42.091,72.086,0.6,5.0,"Kyrgyzstan",3,"100-1000 people",0,"less than $100K"
2010-01-20 06:05:46,-26.789,-63.214,559.9,5.4,"Santiago Del Estero, Argentina",1,"1-10 people",0,"less than $100K"
2010-01-20 09:32:27,16.877,-94.478,104.3,5.0,"Oaxaca, Mexico",0,"None",0,"less than $100K"
2010-01-21 00:15:14,-36.281,-73.16,42.2,5.1,"offshore Bio-Bio, Chile",2,"10-100 people",0,"less than $100K"
2010-01-21 02:02:03,13.551,125.46,15.0,5.5,"Philippine Islands region",3,"100-1000 people",0,"less than $100K"
2010-01-21 08:03:23,8.268,-110.357,12.0,5.6,"east central Pacific Ocean",1,"1-10 people",0,"less than $100K"
2010-01-21 11:55:21,54.421,-161.482,29.2,5.2,"Alaska Peninsula",3,"100-1000 people",0,"less than $100K"
2010-01-21 17:00:51,1.446,122.201,32.5,5.2,"Minahasa, Sulawesi, Indonesia",0,"None",1,"more than $100.000"
2010-01-21 21:17:05,-39.05,174.852,227.9,5.1,"North Island of New Zealand",0,"None",0,"less than $100K"
2010-01-22 01:24:51,-19.513,175.282,35.0,5.3,"south of the Fiji Islands",2,"10-100 people",3,"more than $100.000.000"
2010-01-22 06:46:17,3.025,93.789,36.9,5.0,"off the west coast of northern Sumatra",3,"100-1000 people",1,"more than $100.000"
2010-01-22 11:06:57,-2.728,-102.461,10.0,5.2,"central East Pacific Rise",1,"1-10 people",0,"less than $100K"
2010-01-23 09:08:55,8.341,-83.01,35.0,5.3,"Costa Rica",0,"None",0,"less than $100K"
2010-01-23 09:23:03,-17.541,-63.887,10.0,5.3,"Santa Cruz, Bolivia",0,"None",0,"less than $100K"
2010-01-23 16:07:42,36.525,71.481,93.4,5.1,"Hindu Kush region, Afghanistan",3,"100-1000 people",1,"more than $100.000"
2010-01-24 01:02:09,-31.914,57.918,10.0,5.0,"Southwest Indian Ridge",0,"None",0,"less than $100K"
2010-01-24 02:36:15,35.515,110.736,28.7,5.0,"Shaanxi-Shanxi border region, China",2,"10-100 people",2,"more than $1.000.000"
2010-01-24 05:38:26,-8.205,129.029,19.0,5.5,"Kepulauan Babar, Indonesia",2,"10-100 people",3,"more than $100.000.000"
2010-01-24 22:43:23,16.029,-60.925,64.5,5.0,"Guadeloupe region, Leeward Islands",2,"10-100 people",2,"more than $1.000.000"
2010-01-25 07:15:08,30.964,130.888,38.2,5.5,"Kyushu, Japan",1,"1-10 people",2,"more than $1.000.000"
2010-01-25 14:08:27,-32.935,179.825,35.0,5.1,"south of the Kermadec Islands",0,"None",3,"more than $100.000.000"
2010-01-25 17:04:08,58.604,-153.474,89.7,5.0,"Kodiak Island region, Alaska",0,"None",2,"more than $1.000.000"
2010-01-25 23:08:55,50.997,-178.09,10.7,5.3,"Andreanof Islands, Aleutian Islands, Alaska",0,"None",0,"less than $100K"
2010-01-26 06:53:25,-0.324,99.093,63.9,5.0,"southern Sumatra, Indonesia",1,"1-10 people",3,"more than $100.000.000"
2010-01-26 15:22:06,-39.257,-15.9,10.0,5.3,"Tristan da Cunha region",2,"10-100 people",0,"less than $100K"
2010-01-27 19:00:33,-7.156,125.031,530.7,5.1,"Kepulauan Barat Daya, Indonesia",0,"None",0,"less than $100K"
2010-01-28 04:01:18,-9.832,108.788,16.1,5.0,"south of Java, Indonesia",0,"None",1,"more than $100.000"
2010-01-28 08:04:14,-23.357,-66.712,208.4,5.9,"Jujuy, Argentina",0,"None",1,"more than $100.000"
2010-01-28 09:55:24,3.044,126.585,73.6,5.3,"Kepulauan Talaud, Indonesia",2,"10-100 people",0,"less than $100K"
2010-01-29 13:16:26,1.634,-90.281,10.0,5.5,"Galapagos Islands, Ecuador region",3,"100-1000 people",1,"more than $100.000"
2010-01-30 02:26:41,19.024,121.207,39.7,5.2,"Babuyan Islands region, Philippines",0,"None",3,"more than $100.000.000"
2010-01-30 05:50:09,-28.227,-70.698,57.4,5.3,"Atacama, Chile",2,"10-100 people",1,"more than $100.000"
2010-01-30 15:59:42,2.356,126.723,16.3,5.4,"Molucca Sea",0,"None",1,"more than $100.000"
2010-01-30 21:36:58,30.268,105.668,10.0,5.1,"eastern Sichuan, China",1,"1-10 people",2,"more than $1.000.000"
2010-01-31 07:02:46,-2.878,100.906,50.7,5.0,"Kepulauan Mentawai region, Indonesia",2,"10-100 people",1,"more than $100.000"
2010-01-31 11:43:57,1.485,-85.099,10.0,5.0,"off the coast of Ecuador",0,"None",1,"more than $100.000"
2010-02-01 12:14:33,-23.004,-112.306,10.0,5.1,"Easter Island region",0,"None",0,"less than $100K"
2010-02-01 12:48:48,-63.0,155.693,10.0,5.3,"Balleny Islands region",0,"None",0,"less than $100K"
2010-02-01 22:28:16,-6.112,154.463,32.0,6.2,"Bougainville region, Papua New Guinea",0,"None",2,"more than $1.000.000"
2010-02-02 06:45:06,-0.343,-16.109,10.0,5.1,"north of Ascension Island",0,"None",0,"less than $100K"
2010-02-02 11:19:08,10.188,125.931,105.3,5.1,"Leyte, Philippines",2,"10-100 people",3,"more than $100.000.000"
2010-02-03 00:29:30,-8.595,130.595,35.0,5.0,"Kepulauan Tanimbar, Indonesia",3,"100-1000 people",0,"less than $100K"
2010-02-03 02:18:27,-58.941,-25.738,49.8,5.2,"South Sandwich Islands region",2,"10-100 people",1,"more than $100.000"
2010-02-03 07:21:57,53.815,-163.02,35.0,5.1,"Unimak Island region, Alaska",0,"None",0,"less than $100K"
2010-02-05 06:48:11,40.674,135.626,382.5,5.2,"Sea of Japan",0,"None",0,"less than $100K"
2010-02-06 20:31:58,-16.004,-172.737,10.0,5.5,"Samoa Islands region",2,"10-100 people",2,"more than $1.000.000"
2010-02-07 06:10:00,23.488,123.615,21.0,6.3,"southwestern Ryukyu Islands, Japan",1,"1-10 people",3,"more than $100.000.000"
2010-02-07 09:49:14,5.698,-82.303,10.0,5.1,"south of Panama",0,"None",0,"less than $100K"
2010-02-08 07:57:22,43.851,86.25,35.0,5.0,"northern Xinjiang, China",2,"10-100 people",2,"more than $1.000.000"
2010-02-08 13:45:02,-24.177,-175.843,30.7,5.4,"south of Tonga",0,"None",1,"more than $100.000"
2010-02-09 05:02:12,20.989,121.126,24.5,5.0,"Batan Islands region, Philippines",3,"100-1000 people",3,"more than $100.000.000"
2010-02-09 10:21:42,-38.857,-179.695,33.0,5.0,"east of the North Island of New Zealand",2,"10-100 people",0,"less than $100K"
2010-02-10 00:48:44,1.522,97.063,30.9,5.0,"Nias region, Indonesia",2,"10-100 people",0,"less than $100K"
2010-02-11 21:56:31,34.0,25.393,14.0,5.5,"Crete, Greece",1,"1-10 people",0,"less than $100K"
2010-02-12 02:26:31,8.428,-102.924,10.0,5.3,"northern East Pacific Rise",2,"10-100 people",1,"more than $100.000"
2010-02-12 12:03:38,-33.622,-68.789,148.4,5.8,"Mendoza, Argentina",1,"1-10 people",0,"less than $100K"
2010-02-12 12:09:14,19.855,-74.378,10.0,5.3,"Cuba region",1,"1-10 people",0,"less than $100K"
2010-02-13 01:00:57,29.852,-42.753,10.0,5.2,"northern Mid-Atlantic Ridge",1,"1-10 people",0,"less than $100K"
2010-02-18 01:13:19,42.587,130.703,577.7,6.9,"China-Russia-North Korea border region",3,"100-1000 people",2,"more than $1.000.000"
2010-02-18 17:02:38,-40.174,173.778,170.3,5.0,"Cook Strait, New Zealand",1,"1-10 people",0,"less than $100K"
2010-02-18 20:56:33,-23.067,-68.514,114.7,5.2,"Antofagasta, Chile",1,"1-10 people",0,"less than $100K"
2010-02-21 00:56:48,16.961,-85.509,24.5,5.1,"north of Honduras",2,"10-100 people",1,"more than $100.000"
2010-02-21 09:42:03,-27.524,65.966,10.0,5.0,"Indian Ocean Triple Junction",0,"None",0,"less than $100K"
2010-02-22 05:21:04,24.126,122.936,29.2,5.2,"Taiwan region",1,"1-10 people",1,"more than $100.000"
2010-02-22 07:24:45,-23.738,-175.917,35.0,5.6,"Tonga region",0,"None",0,"less than $100K"
2010-02-22 16:55:01,70.896,-6.523,10.0,5.3,"Jan Mayen Island region",2,"10-100 people",0,"less than $100K"
2010-02-24 11:57:58,-30.228,165.862,10.0,5.4,"northwest of New Zealand",2,"10-100 people",0,"less than $100K"
2010-02-24 13:01:09,-3.375,146.033,10.0,5.0,"Bismarck Sea",0,"None",0,"less than $100K"
2010-02-25 00:53:52,8.315,137.703,35.0,5.0,"State of Yap, Federated States of Micronesia",1,"1-10 people",1,"more than $100.000"
2010-02-25 03:15:03,11.176,-86.126,24.9,5.7,"near the coast of Nicaragua",0,"None",1,"more than $100.000"
2010-02-25 04:38:37,-46.072,166.184,12.0,5.1,"off the west coast of the South Island of New Zealand",0,"None",1,"more than $100.000"
2010-02-27 06:47:23,-33.655,-72.033,35.0,5.6,"offshore Valparaiso, Chile",0,"None",0,"less than $100K"
2010-02-27 06:52:34,-34.867,-72.614,35.0,6.2,"offshore Maule, Chile",3,"100-1000 people",2,"more than $1.000.000"
2010-02-27 06:56:26,-34.35,-72.197,34.8,5.6,"offshore Libertador O'Higgins, Chile",2,"10-100 people",0,"less than $100K"
2010-02-27 06:58:28,-31.72,-72.156,35.0,5.2,"offshore Coquimbo, Chile",2,"10-100 people",0,"less than $100K"
2010-02-27 07:33:30,-38.032,-73.393,35.0,5.6,"Bio-Bio, Chile",2,"10-100 people",0,"less than $100K"
2010-02-27 07:40:46,-35.133,-72.176,32.7,5.5,"Maule, Chile",0,"None",0,"less than $100K"
2010-02-27 07:43:15,-35.991,-74.012,35.0,5.2,"off the coast of Maule, Chile",0,"None",0,"less than $100K"
2010-02-27 07:54:00,-34.614,-73.777,35.0,5.0,"off the coast of Libertador O'Higgins, Chile",0,"None",0,"less than $100K"
2010-02-27 07:57:23,-33.83,-71.456,27.2,5.0,"Region Metropolitana, Chile",3,"100-1000 people",1,"more than $100.000"
2010-02-27 08:01:23,-37.773,-75.048,35.0,7.4,"off the coast of Bio-Bio, Chile",2,"10-100 people",3,"more than $100.000.000"
2010-02-27 08:13:14,-33.304,-71.579,35.0,5.6,"Valparaiso, Chile",3,"100-1000 people",2,"more than $1.000.000"
2010-02-27 08:48:05,-38.495,-75.326,35.0,5.6,"off the coast of Araucania, Chile",1,"1-10 people",0,"less than $100K"
2010-02-27 13:07:40,-38.554,-72.865,35.0,5.0,"Araucania, Chile",2,"10-100 people",3,"more than $100.000.000"
2010-02-27 13:09:20,-38.496,-73.645,35.0,5.3,"offshore Araucania, Chile",2,"10-100 people",1,"more than $100.000"
2010-02-27 15:45:37,-24.872,-65.602,10.0,6.3,"Salta, Argentina",3,"100-1000 people",2,"more than $1.000.000"
2010-02-27 17:11:49,-33.99,-71.805,35.0,5.5,"Libertador General Bernardo O'Higgins, Chile",0,"None",3,"more than $100.000.000"
2010-02-27 21:00:35,-33.916,-73.154,27.0,5.2,"off the coast of Valparaiso, Chile",3,"100-1000 people",0,"less than $100K"
2010-02-28 05:14:41,-45.608,167.153,33.0,5.1,"South Island of New Zealand",0,"None",2,"more than $1.000.000"
2010-02-28 10:26:51,-1.177,-80.39,35.0,5.2,"near the coast of Ecuador",1,"1-10 people",3,"more than $100.000.000"
2010-02-28 12:13:27,2.112,99.015,58.1,5.1,"northern Sumatra, Indonesia",0,"None",1,"more than $100.000"
2010-02-28 22:07:47,39.482,140.44,121.8,5.1,"eastern Honshu, Japan",0,"None",0,"less than $100K"
2010-03-01 06:24:58,32.302,105.171,37.9,5.0,"Sichuan-Gansu border region, China",0,"None",3,"more than $100.000.000"
2010-03-02 02:09:35,-39.76,-71.366,24.8,5.1,"Neuquen, Argentina",0,"None",1,"more than $100.000"
2010-03-02 02:51:21,18.182,122.399,17.0,5.8,"Luzon, Philippines",0,"None",1,"more than $100.000"
2010-03-02 07:31:18,-2.747,138.58,41.9,5.0,"Papua, Indonesia",0,"None",1,"more than $100.000"
2010-03-02 14:07:08,-39.508,-73.788,35.0,5.1,"offshore Los Lagos, Chile",0,"None",1,"more than $100.000"
2010-03-03 12:13:01,-58.74,148.721,10.0,5.0,"west of Macquarie Island",0,"None",0,"less than $100K"
2010-03-03 19:34:50,-7.382,104.609,35.0,5.0,"southwest of Sumatra, Indonesia",2,"10-100 people",0,"less than $100K"
2010-03-04 00:18:51,22.918,120.795,21.0,6.3,"Taiwan",4,"1000-10000 people",2,"more than $1.000.000"
2010-03-04 09:39:42,-1.387,145.545,59.9,5.0,"Admiralty Islands region, Papua New Guinea",3,"100-1000 people",0,"less than $100K"
2010-03-05 10:14:26,1.891,127.504,107.4,5.0,"Halmahera, Indonesia",3,"100-1000 people",1,"more than $100.000"
2010-03-06 00:33:01,48.896,91.481,10.0,5.1,"western Mongolia",2,"10-100 people",0,"less than $100K"
2010-03-06 17:23:12,14.664,144.221,10.0,5.2,"Rota region, Northern Mariana Islands",0,"None",0,"less than $100K"
2010-03-08 02:32:34,38.864,39.986,12.0,6.1,"eastern Turkey",3,"100-1000 people",4,"more than $1.000.000.000"
2010-03-08 09:47:08,19.348,144.743,427.0,6.1,"Maug Islands region, Northern Mariana Islands",4,"1000-10000 people",3,"more than $100.000.000"
2010-03-09 06:00:45,11.23,125.458,78.8,5.1,"Samar, Philippines",0,"None",0,"less than $100K"
2010-03-10 08:07:24,7.128,-34.307,10.0,5.3,"central Mid-Atlantic Ridge",0,"None",3,"more than $100.000.000"
2010-03-10 14:32:21,36.426,86.966,10.0,5.1,"Xinjiang-Xizang border region",0,"None",0,"less than $100K"
2010-03-12 19:29:00,28.592,142.64,29.4,5.2,"Bonin Islands, Japan region",2,"10-100 people",3,"more than $100.000.000"
2010-03-12 23:19:55,23.062,94.623,102.1,5.5,"Myanmar",0,"None",0,"less than $100K"
2010-03-13 02:53:15,2.192,133.02,10.0,5.9,"Palau region",0,"None",0,"less than $100K"
2010-03-13 04:53:39,44.218,-129.355,10.0,5.0,"off the coast of Oregon",0,"None",0,"less than $100K"
2010-03-13 12:46:26,37.594,141.299,76.7,5.6,"near the east coast of Honshu, Japan",2,"10-100 people",0,"less than $100K"
2010-03-13 21:42:38,52.785,160.356,22.3,5.3,"off the east coast of the Kamchatka Peninsula, Russia",0,"None",0,"less than $100K"
2010-03-14 00:57:44,-1.692,128.135,53.0,6.4,"Kepulauan Obi, Indonesia",3,"100-1000 people",2,"more than $1.000.000"
2010-03-14 19:09:05,35.303,74.498,43.6,5.2,"northwestern Kashmir",2,"10-100 people",1,"more than $100.000"
2010-03-14 20:33:13,-2.746,83.703,28.0,5.8,"South Indian Ocean",1,"1-10 people",0,"less than $100K"
2010-03-15 17:00:15,-41.439,-89.251,10.0,5.2,"southeast of Easter Island",0,"None",0,"less than $100K"
2010-03-16 09:44:15,52.139,142.204,9.0,5.8,"Sakhalin, Russia",1,"1-10 people",1,"more than $100.000"
2010-03-17 17:38:33,-43.842,-72.569,10.0,5.4,"Los Lagos, Chile",2,"10-100 people",0,"less than $100K"
2010-03-18 09:32:21,-44.179,-72.832,4.4,5.2,"Aisen, Chile",0,"None",0,"less than $100K"
2010-03-19 09:30:39,54.496,110.105,10.3,5.3,"Lake Baykal region, Russia",0,"None",0,"less than $100K"
2010-03-19 20:48:46,17.395,-100.985,20.4,5.0,"Guerrero, Mexico",0,"None",0,"less than $100K"
2010-03-20 14:00:49,-3.361,152.245,414.6,6.6,"New Ireland region, Papua New Guinea",2,"10-100 people",2,"more than $1.000.000"
2010-03-20 17:21:23,51.884,-166.404,17.4,5.1,"south of the Aleutian Islands",0,"None",0,"less than $100K"
2010-03-20 21:33:06,19.872,-105.465,63.3,5.0,"offshore Jalisco, Mexico",2,"10-100 people",2,"more than $1.000.000"
2010-03-22 01:00:41,-16.186,-69.515,188.7,5.3,"Peru-Bolivia border region",1,"1-10 people",0,"less than $100K"
2010-03-23 15:23:38,52.958,171.961,15.4,5.3,"Near Islands, Aleutian Islands, Alaska",0,"None",1,"more than $100.000"
2010-03-24 02:06:10,32.509,92.708,7.0,5.7,"Xizang-Qinghai border region",3,"100-1000 people",1,"more than $100.000"
2010-03-25 05:29:24,13.827,120.071,16.0,6.0,"Mindoro, Philippines",1,"1-10 people",2,"more than $1.000.000"
2010-03-26 01:56:37,-1.098,-78.129,10.0,5.0,"Ecuador",0,"None",3,"more than $100.000.000"
2010-03-27 17:28:30,-52.728,26.137,10.0,5.1,"south of Africa",1,"1-10 people",0,"less than $100K"
2010-03-28 01:08:24,-10.152,-78.055,65.0,5.2,"near the coast of central Peru",1,"1-10 people",0,"less than $100K"
2010-03-30 01:02:51,43.308,138.379,8.0,5.7,"eastern Sea of Japan",2,"10-100 people",0,"less than $100K"
2010-03-30 16:54:46,13.667,92.831,34.0,6.6,"Andaman Islands, India region",1,"1-10 people",2,"more than $1.000.000"
2010-03-31 06:11:30,-8.971,117.432,44.9,5.0,"Sumbawa region, Indonesia",0,"None",2,"more than $1.000.000"
2010-04-01 14:07:30,30.088,69.541,35.0,5.0,"Pakistan",0,"None",1,"more than $100.000"
2010-04-04 22:40:43,32.297,-115.278,4.0,7.2,"Baja California, Mexico",3,"100-1000 people",5,"more than $10.000.000.000"
2010-04-05 11:14:14,32.663,-115.808,13.6,5.1,"Southern California",0,"None",0,"less than $100K"
2010-04-05 11:23:41,-42.627,124.949,10.0,5.1,"south of Australia",0,"None",1,"more than $100.000"
2010-04-05 22:36:57,-19.86,-68.842,94.2,5.8,"Tarapaca, Chile",2,"10-100 people",0,"less than $100K"
2010-04-06 23:50:22,73.782,8.815,12.4,5.3,"Greenland Sea",0,"None",1,"more than $100.000"
2010-04-07 04:22:15,2.63,96.928,35.0,5.1,"Simeulue, Indonesia",2,"10-100 people",0,"less than $100K"
2010-04-07 14:33:01,-3.76,141.943,23.0,6.0,"New Guinea, Papua New Guinea",1,"1-10 people",2,"more than $1.000.000"
2010-04-08 23:57:43,-4.18,35.193,26.3,5.1,"Tanzania",1,"1-10 people",1,"more than $100.000"
2010-04-09 22:23:02,-28.559,-68.124,117.7,5.8,"La Rioja, Argentina",1,"1-10 people",0,"less than $100K"
2010-04-10 06:16:14,-4.834,145.687,57.7,5.3,"near the north coast of New Guinea, Papua New Guinea",0,"None",0,"less than $100K"
2010-04-11 22:08:12,36.965,-3.542,609.8,6.3,"Strait of Gibraltar",4,"1000-10000 people",2,"more than $1.000.000"
2010-04-12 05:51:30,-4.42,-77.405,41.9,5.0,"northern Peru",0,"None",0,"less than $100K"
2010-04-12 09:48:41,-8.85,124.065,107.7,5.0,"Kepulauan Alor, Indonesia",0,"None",0,"less than $100K"
2010-04-13 20:14:56,7.805,91.843,21.1,5.2,"Nicobar Islands, India region",1,"1-10 people",0,"less than $100K"
2010-04-13 23:49:38,33.165,96.548,17.0,6.9,"southern Qinghai, China",1,"1-10 people",2,"more than $1.000.000"
2010-04-18 20:16:39,18.136,-68.515,84.5,5.1,"Mona Passage, Dominican Republic",2,"10-100 people",0,"less than $100K"
2010-04-18 20:28:50,35.633,67.658,13.0,5.6,"central Afghanistan",3,"100-1000 people",0,"less than $100K"
2010-04-20 00:17:08,-30.794,121.406,0.0,5.2,"Western Australia",0,"None",0,"less than $100K"
2010-04-23 06:46:20,13.641,144.681,133.0,5.3,"Guam region",2,"10-100 people",1,"more than $100.000"
2010-04-26 02:59:52,22.18,123.623,22.0,6.5,"southeast of Taiwan",0,"None",2,"more than $1.000.000"
2010-04-26 23:23:50,33.654,136.977,355.6,5.1,"near the south coast of western Honshu, Japan",0,"None",3,"more than $100.000.000"
2010-04-27 17:17:09,-50.175,114.702,10.0,5.6,"western Indian-Antarctic Ridge",1,"1-10 people",0,"less than $100K"
2010-04-27 20:22:27,30.432,101.424,10.0,5.1,"western Sichuan, China",2,"10-100 people",3,"more than $100.000.000"
2010-04-27 22:58:03,27.192,54.967,21.8,5.0,"southern Iran",1,"1-10 people",0,"less than $100K"
2010-04-30 23:11:43,60.473,-177.877,12.0,6.5,"Bering Sea",0,"None",2,"more than $1.000.000"
2010-05-02 06:23:23,57.356,162.198,40.4,5.4,"near the east coast of the Kamchatka Peninsula, Russia",0,"None",1,"more than $100.000"
2010-05-02 08:13:17,29.21,141.98,30.8,5.0,"Izu Islands, Japan region",0,"None",2,"more than $1.000.000"
2010-05-03 14:04:19,52.612,-163.691,7.8,5.5,"south of Alaska",0,"None",0,"less than $100K"
2010-05-06 02:42:47,-18.058,-70.547,37.0,6.2,"near the coast of Tarapaca, Chile",3,"100-1000 people",4,"more than $1.000.000.000"
2010-05-07 11:44:46,-10.408,123.503,11.3,5.0,"Timor region, Indonesia",2,"10-100 people",3,"more than $100.000.000"
2010-05-09 02:02:37,-8.169,128.936,37.1,5.4,"Timor Sea",0,"None",3,"more than $100.000.000"
2010-05-14 12:29:22,35.9,4.12,2.0,5.3,"northern Algeria",0,"None",1,"more than $100.000"
2010-05-15 00:08:43,-16.689,177.283,10.3,5.1,"Fiji",2,"10-100 people",0,"less than $100K"
2010-05-16 05:16:10,18.4,-67.07,113.0,5.8,"Puerto Rico",0,"None",1,"more than $100.000"
2010-05-17 09:51:20,-7.528,119.718,49.2,5.0,"Flores Sea",0,"None",3,"more than $100.000.000"
2010-05-18 15:32:32,13.135,51.106,10.0,5.0,"Gulf of Aden",1,"1-10 people",0,"less than $100K"
